,city,state,country,lat,long
0,Rio Branco/AC,AC,Brasil,-9.9765362,-67.8220778
1,Plácido de Castro/AC,AC,Brasil,-10.3239154,-67.1824196
2,Cruzeiro do Sul/AC,AC,Brasil,-7.6307956,-72.6703869
3,Acrelândia/AC,AC,Brasil,-10.0759167,-67.0526898
4,Senador Guiomard/AC,AC,Brasil,-9.9765,-67.3191396103896
5,Tarauacá/AC,AC,Brasil,-8.1602019,-70.7665368
6,Sena Madureira/AC,AC,Brasil,-9.0659556,-68.6571058
7,Bujari/AC,AC,Brasil,-9.8309656,-67.9520886
8,Marechal Thaumaturgo/AC,AC,Brasil,-8.9479792,-72.7872614
9,Epitaciolândia/AC,AC,Brasil,-11.0289439,-68.7411519
10,Porto Acre/AC,AC,Brasil,-9.5879722,-67.53307
11,Brasiléia/AC,AC,Brasil,-11.0010413,-68.7487894
12,Xapuri/AC,AC,Brasil,-10.6511174,-68.5017902
13,Capixaba/AC,AC,Brasil,-10.5741345,-67.6759719
14,Assis Brasil/AC,AC,Brasil,-10.9409203,-69.5672108
15,Mâncio Lima/AC,AC,Brasil,-7.6145911,-72.905264
16,Rodrigues Alves/AC,AC,Brasil,-7.7380283,-72.6509379
17,Feijó/AC,AC,Brasil,-8.1648652,-70.3539579
18,Santa Rosa do Purus/AC,AC,Brasil,-9.4354872,-70.4926109
19,Manoel Urbano/AC,AC,Brasil,-8.838861,-69.2620618
20,Jordão/AC,AC,Brasil,-9.1911406,-71.9481397
21,Porto Walter/AC,AC,Brasil,-8.2687722,-72.7444458
22,Maceió/AL,AL,Brasil,-9.6476843,-35.7339264
23,Marechal Deodoro/AL,AL,Brasil,-9.709715,-35.896731
24,Rio Largo/AL,AL,Brasil,-9.477829,-35.839435
25,Arapiraca/AL,AL,Brasil,-9.754866,-36.661471
26,Murici/AL,AL,Brasil,-9.306823,-35.942798
27,Palmeira dos Índios/AL,AL,Brasil,-9.4076249,-36.6323616
28,Satuba/AL,AL,Brasil,-9.569113,-35.822697
29,Coruripe/AL,AL,Brasil,-10.1249963,-36.1760623
30,Teotônio Vilela/AL,AL,Brasil,-9.9062736,-36.3571341
31,União dos Palmares/AL,AL,Brasil,-9.1576807,-36.0342251
32,Santana do Ipanema/AL,AL,Brasil,-9.369989,-37.248018
33,Pilar/AL,AL,Brasil,-9.6016711,-35.9511275
34,São Sebastião/AL,AL,Brasil,-9.9315057,-36.5439245
35,São Miguel dos Campos/AL,AL,Brasil,-9.7831115,-36.0967804
36,Atalaia/AL,AL,Brasil,-9.5029595,-36.0219316
37,Porto Calvo/AL,AL,Brasil,-9.051948,-35.398653
38,Santa Luzia do Norte/AL,AL,Brasil,-9.6037,-35.823196
39,Junqueiro/AL,AL,Brasil,-9.9201549,-36.474737
40,Jequiá da Praia/AL,AL,Brasil,-10.0092595,-36.0232787
41,São José da Laje/AL,AL,Brasil,-9.0093044,-36.056732
42,Maragogi/AL,AL,Brasil,-9.0118278,-35.222512
43,São Luís do Quitunde/AL,AL,Brasil,-9.3181755,-35.5605097
44,Capela/AL,AL,Brasil,-9.415041,-36.082583
45,São Miguel dos Milagres/AL,AL,Brasil,-9.267217,-35.376312
46,Anadia/AL,AL,Brasil,-9.6830208,-36.3052699
47,São José da Tapera/AL,AL,Brasil,-9.5584287,-37.3818893
48,Craíbas/AL,AL,Brasil,-9.6168038,-36.7684669
49,Boca da Mata/AL,AL,Brasil,-9.6452054,-36.2116658
50,Paripueira/AL,AL,Brasil,-9.463133,-35.551977
51,Coqueiro Seco/AL,AL,Brasil,-9.637147,-35.799377
52,Penedo/AL,AL,Brasil,-10.2872341,-36.5819262
53,Piaçabuçu/AL,AL,Brasil,-10.4066897,-36.433654
54,Olho d'Água das Flores/AL,AL,Brasil,-9.5318374,-37.2939052
55,Matriz de Camaragibe/AL,AL,Brasil,-9.154373,-35.524302
56,Paulo Jacinto/AL,AL,Brasil,-9.3679179,-36.3672411
57,Quebrangulo/AL,AL,Brasil,-9.3217611,-36.4735837
58,Passo de Camaragibe/AL,AL,Brasil,-9.2367833,-35.4901015
59,Campo Alegre/AL,AL,Brasil,-9.7798607,-36.3575793
60,Japaratinga/AL,AL,Brasil,-9.087464,-35.263403
61,Joaquim Gomes/AL,AL,Brasil,-9.1372894,-35.7518862
62,Messias/AL,AL,Brasil,-9.393843,-35.839182
63,Viçosa/AL,AL,Brasil,-9.3728032,-36.2432636
64,Maribondo/AL,AL,Brasil,-9.5808649,-36.3040574
65,Colônia Leopoldina/AL,AL,Brasil,-8.918058,-35.721414
66,Batalha/AL,AL,Brasil,-9.6733809,-37.1265481
67,Major Isidoro/AL,AL,Brasil,-9.4945,-37.036265625
68,Porto de Pedras/AL,AL,Brasil,-9.160065,-35.304914
69,Barra de São Miguel/AL,AL,Brasil,-9.8261357,-35.8837777
70,Delmiro Gouveia/AL,AL,Brasil,-9.3841161,-37.997756
71,Girau do Ponciano/AL,AL,Brasil,-9.884041,-36.831592
72,Barra de Santo Antônio/AL,AL,Brasil,-9.4038098,-35.5117693
73,Cajueiro/AL,AL,Brasil,-9.399589,-36.1524309
74,Pão de Açúcar/AL,AL,Brasil,-9.7496551,-37.4329891
75,Flexeiras/AL,AL,Brasil,-9.2788679,-35.7235246
76,Feira Grande/AL,AL,Brasil,-9.8944239,-36.6793255
77,Campestre/AL,AL,Brasil,-8.8481634,-35.5660033
78,São Brás/AL,AL,Brasil,-10.1258829,-36.898249
79,Ouro Branco/AL,AL,Brasil,-9.1622698,-37.3582893
80,Cacimbinhas/AL,AL,Brasil,-9.401212,-36.991082
81,Lagoa da Canoa/AL,AL,Brasil,-9.8294012,-36.7395617
82,Novo Lino/AL,AL,Brasil,-8.941905,-35.664001
83,Roteiro/AL,AL,Brasil,-9.8334935,-35.9777132
84,Limoeiro de Anadia/AL,AL,Brasil,-9.7389667,-36.5015847
85,Porto Real do Colégio/AL,AL,Brasil,-10.186833,-36.8357056
