,city,date,state,initial_cases,time_from_start
0,São Paulo/SP,2020-03-11 00:00:00+00:00,SP,29.0,0.0
1,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,2020-03-15 00:00:00+00:00,SP,36.0,4.0
2,Rio de Janeiro/RJ,2020-03-15 00:00:00+00:00,RJ,22.0,4.0
3,Brasília/DF,2020-03-17 00:00:00+00:00,DF,22.0,6.0
4,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,2020-03-20 00:00:00+00:00,RJ,43.0,9.0
5,Fortaleza/CE,2020-03-20 00:00:00+00:00,CE,63.0,9.0
6,Porto Alegre/RS,2020-03-20 00:00:00+00:00,RS,25.0,9.0
7,Curitiba/PR,2020-03-20 00:00:00+00:00,PR,27.0,9.0
8,Salvador/BA,2020-03-21 00:00:00+00:00,BA,23.0,10.0
9,Recife/PE,2020-03-21 00:00:00+00:00,PE,25.0,10.0
10,Belo Horizonte/MG,2020-03-21 00:00:00+00:00,MG,30.0,10.0
11,CASO SEM LOCALIZAÇÃO DEFINIDA/MG,2020-03-22 00:00:00+00:00,MG,23.0,11.0
12,Manaus/AM,2020-03-22 00:00:00+00:00,AM,25.0,11.0
13,Rio Branco/AC,2020-03-24 00:00:00+00:00,AC,21.0,13.0
14,Campo Grande/MS,2020-03-24 00:00:00+00:00,MS,22.0,13.0
15,Goiânia/GO,2020-03-26 00:00:00+00:00,GO,21.0,15.0
16,Niterói/RJ,2020-03-26 00:00:00+00:00,RJ,31.0,15.0
17,Vila Velha/ES,2020-03-27 00:00:00+00:00,ES,21.0,16.0
18,Florianópolis/SC,2020-03-27 00:00:00+00:00,SC,27.0,16.0
19,Natal/RN,2020-03-28 00:00:00+00:00,RN,34.0,17.0
20,São Luís/MA,2020-03-29 00:00:00+00:00,MA,21.0,18.0
21,Vitória/ES,2020-03-29 00:00:00+00:00,ES,21.0,18.0
22,Santo André/SP,2020-03-30 00:00:00+00:00,SP,40.0,19.0
23,São Caetano do Sul/SP,2020-03-30 00:00:00+00:00,SP,27.0,19.0
24,São Bernardo do Campo/SP,2020-03-30 00:00:00+00:00,SP,33.0,19.0
25,Guarulhos/SP,2020-03-31 00:00:00+00:00,SP,21.0,20.0
26,Belém/PA,2020-03-31 00:00:00+00:00,PA,21.0,20.0
27,Juiz de Fora/MG,2020-03-31 00:00:00+00:00,MG,23.0,20.0
28,Osasco/SP,2020-03-31 00:00:00+00:00,SP,33.0,20.0
29,Cotia/SP,2020-04-01 00:00:00+00:00,SP,21.0,21.0
30,Barueri/SP,2020-04-01 00:00:00+00:00,SP,21.0,21.0
